방면명,date,직진,좌회전,우회전,합계,빨간날
교대→연산교차로,2023.10.12 19:00,303,0,389,692,0
부산시청→연산교차로,2023.10.12 19:00,499,380,273,1152,0
사직운동장→연산교차로,2023.10.12 19:00,182,573,71,826,0
신리→연산교차로,2023.10.12 19:00,378,238,42,658,0
안락→연산교차로,2023.10.12 19:00,434,0,98,532,0
연산터널→연산교차로,2023.10.12 19:00,194,250,49,493,0
교대→연산교차로,2023.10.12 20:00,296,0,350,646,0
부산시청→연산교차로,2023.10.12 20:00,488,372,246,1106,0
사직운동장→연산교차로,2023.10.12 20:00,174,550,94,818,0
신리→연산교차로,2023.10.12 20:00,310,165,34,509,0
안락→연산교차로,2023.10.12 20:00,403,0,94,497,0
연산터널→연산교차로,2023.10.12 20:00,209,266,57,532,0
교대→연산교차로,2023.10.12 21:00,277,0,280,557,0
부산시청→연산교차로,2023.10.12 21:00,461,323,206,990,0
사직운동장→연산교차로,2023.10.12 21:00,171,489,72,732,0
신리→연산교차로,2023.10.12 21:00,297,184,27,508,0
안락→연산교차로,2023.10.12 21:00,383,0,118,501,0
연산터널→연산교차로,2023.10.12 21:00,225,268,67,560,0
교대→연산교차로,2023.10.12 22:00,240,0,219,459,0
부산시청→연산교차로,2023.10.12 22:00,395,285,151,831,0
사직운동장→연산교차로,2023.10.12 22:00,182,476,71,729,0
신리→연산교차로,2023.10.12 22:00,242,150,17,409,0
안락→연산교차로,2023.10.12 22:00,333,0,99,432,0
연산터널→연산교차로,2023.10.12 22:00,177,233,50,460,0
교대→연산교차로,2023.10.12 23:00,175,0,201,376,0
부산시청→연산교차로,2023.10.12 23:00,320,175,121,616,0
사직운동장→연산교차로,2023.10.12 23:00,107,256,46,409,0
신리→연산교차로,2023.10.12 23:00,191,128,23,342,0
안락→연산교차로,2023.10.12 23:00,266,0,56,322,0
연산터널→연산교차로,2023.10.12 23:00,157,187,56,400,0
교대→연산교차로,2023.10.13 00:00,136,0,209,345,0
부산시청→연산교차로,2023.10.13 00:00,273,162,106,541,0
사직운동장→연산교차로,2023.10.13 00:00,80,205,69,354,0
신리→연산교차로,2023.10.13 00:00,156,92,19,267,0
안락→연산교차로,2023.10.13 00:00,202,0,60,262,0
연산터널→연산교차로,2023.10.13 00:00,132,166,66,364,0
교대→연산교차로,2023.10.13 01:00,108,0,175,283,0
부산시청→연산교차로,2023.10.13 01:00,202,121,80,403,0
사직운동장→연산교차로,2023.10.13 01:00,56,183,38,277,0
신리→연산교차로,2023.10.13 01:00,132,58,23,213,0
안락→연산교차로,2023.10.13 01:00,142,0,67,209,0
연산터널→연산교차로,2023.10.13 01:00,119,141,60,320,0
교대→연산교차로,2023.10.13 02:00,104,0,122,226,0
부산시청→연산교차로,2023.10.13 02:00,160,92,82,334,0
사직운동장→연산교차로,2023.10.13 02:00,36,165,20,221,0
신리→연산교차로,2023.10.13 02:00,92,63,15,170,0
안락→연산교차로,2023.10.13 02:00,126,0,26,152,0
연산터널→연산교차로,2023.10.13 02:00,92,143,53,288,0
교대→연산교차로,2023.10.13 03:00,67,0,130,197,0
부산시청→연산교차로,2023.10.13 03:00,163,78,55,296,0
사직운동장→연산교차로,2023.10.13 03:00,35,135,14,184,0
신리→연산교차로,2023.10.13 03:00,70,37,15,122,0
안락→연산교차로,2023.10.13 03:00,113,0,38,151,0
연산터널→연산교차로,2023.10.13 03:00,91,98,44,233,0
교대→연산교차로,2023.10.13 04:00,62,0,98,160,0
부산시청→연산교차로,2023.10.13 04:00,158,87,46,291,0
사직운동장→연산교차로,2023.10.13 04:00,31,138,8,177,0
신리→연산교차로,2023.10.13 04:00,91,47,11,149,0
안락→연산교차로,2023.10.13 04:00,176,0,33,209,0
연산터널→연산교차로,2023.10.13 04:00,85,86,41,212,0
교대→연산교차로,2023.10.13 05:00,85,0,131,216,0
부산시청→연산교차로,2023.10.13 05:00,234,141,70,445,0
사직운동장→연산교차로,2023.10.13 05:00,52,218,6,276,0
신리→연산교차로,2023.10.13 05:00,226,89,14,329,0
안락→연산교차로,2023.10.13 05:00,311,0,56,367,0
연산터널→연산교차로,2023.10.13 05:00,130,133,25,288,0
교대→연산교차로,2023.10.13 06:00,150,0,210,360,0
부산시청→연산교차로,2023.10.13 06:00,387,259,116,762,0
사직운동장→연산교차로,2023.10.13 06:00,99,313,42,454,0
신리→연산교차로,2023.10.13 06:00,367,175,18,560,0
안락→연산교차로,2023.10.13 06:00,484,0,96,580,0
연산터널→연산교차로,2023.10.13 06:00,217,246,34,497,0
교대→연산교차로,2023.10.13 07:00,251,0,372,623,0
부산시청→연산교차로,2023.10.13 07:00,552,386,220,1158,0
사직운동장→연산교차로,2023.10.13 07:00,175,497,61,733,0
신리→연산교차로,2023.10.13 07:00,472,300,20,792,0
안락→연산교차로,2023.10.13 07:00,622,0,86,708,0
