방면명,date,직진,좌회전,우회전,합계,빨간날
교대→연산교차로,2023.5.1 00:00,126,0,138,264,0
부산시청→연산교차로,2023.5.1 00:00,241,160,101,502,0
사직운동장→연산교차로,2023.5.1 00:00,65,202,49,316,0
신리→연산교차로,2023.5.1 00:00,162,98,15,275,0
안락→연산교차로,2023.5.1 00:00,216,0,45,261,0
연산터널→연산교차로,2023.5.1 00:00,98,137,31,266,0
교대→연산교차로,2023.5.1 01:00,104,0,112,216,0
부산시청→연산교차로,2023.5.1 01:00,202,135,81,418,0
사직운동장→연산교차로,2023.5.1 01:00,57,156,55,268,0
신리→연산교차로,2023.5.1 01:00,125,65,18,208,0
안락→연산교차로,2023.5.1 01:00,180,0,34,214,0
연산터널→연산교차로,2023.5.1 01:00,88,131,35,254,0
교대→연산교차로,2023.5.1 02:00,77,0,100,177,0
부산시청→연산교차로,2023.5.1 02:00,190,110,67,367,0
사직운동장→연산교차로,2023.5.1 02:00,41,126,47,214,0
신리→연산교차로,2023.5.1 02:00,107,66,10,183,0
안락→연산교차로,2023.5.1 02:00,148,0,33,181,0
연산터널→연산교차로,2023.5.1 02:00,93,114,25,232,0
교대→연산교차로,2023.5.1 03:00,63,0,90,153,0
부산시청→연산교차로,2023.5.1 03:00,167,87,51,305,0
사직운동장→연산교차로,2023.5.1 03:00,29,112,42,183,0
신리→연산교차로,2023.5.1 03:00,77,55,7,139,0
안락→연산교차로,2023.5.1 03:00,132,0,32,164,0
연산터널→연산교차로,2023.5.1 03:00,83,100,19,202,0
교대→연산교차로,2023.5.1 04:00,57,0,62,119,0
부산시청→연산교차로,2023.5.1 04:00,179,70,47,296,0
사직운동장→연산교차로,2023.5.1 04:00,34,90,33,157,0
신리→연산교차로,2023.5.1 04:00,85,47,8,140,0
안락→연산교차로,2023.5.1 04:00,174,0,27,201,0
연산터널→연산교차로,2023.5.1 04:00,70,85,29,184,0
교대→연산교차로,2023.5.1 05:00,70,0,107,177,0
부산시청→연산교차로,2023.5.1 05:00,187,110,52,349,0
사직운동장→연산교차로,2023.5.1 05:00,50,115,30,195,0
신리→연산교차로,2023.5.1 05:00,136,65,8,209,0
안락→연산교차로,2023.5.1 05:00,236,0,46,282,0
연산터널→연산교차로,2023.5.1 05:00,83,98,29,210,0
교대→연산교차로,2023.5.1 06:00,136,0,187,323,0
부산시청→연산교차로,2023.5.1 06:00,314,201,91,606,0
사직운동장→연산교차로,2023.5.1 06:00,66,221,37,324,0
신리→연산교차로,2023.5.1 06:00,258,104,16,378,0
안락→연산교차로,2023.5.1 06:00,349,0,59,408,0
연산터널→연산교차로,2023.5.1 06:00,165,186,30,381,0
교대→연산교차로,2023.5.1 07:00,198,0,335,533,0
부산시청→연산교차로,2023.5.1 07:00,396,264,191,851,0
사직운동장→연산교차로,2023.5.1 07:00,156,344,50,550,0
신리→연산교차로,2023.5.1 07:00,349,178,35,562,0
안락→연산교차로,2023.5.1 07:00,475,0,82,557,0
연산터널→연산교차로,2023.5.1 07:00,195,244,30,469,0
교대→연산교차로,2023.5.1 08:00,238,0,371,609,0
부산시청→연산교차로,2023.5.1 08:00,451,317,251,1019,0
사직운동장→연산교차로,2023.5.1 08:00,172,464,36,672,0
신리→연산교차로,2023.5.1 08:00,414,237,53,704,0
안락→연산교차로,2023.5.1 08:00,534,0,79,613,0
연산터널→연산교차로,2023.5.1 08:00,256,317,32,605,0
교대→연산교차로,2023.5.1 09:00,253,0,417,670,0
부산시청→연산교차로,2023.5.1 09:00,513,357,246,1116,0
사직운동장→연산교차로,2023.5.1 09:00,191,507,58,756,0
신리→연산교차로,2023.5.1 09:00,452,250,63,765,0
안락→연산교차로,2023.5.1 09:00,527,0,102,629,0
연산터널→연산교차로,2023.5.1 09:00,254,330,50,634,0
교대→연산교차로,2023.5.1 10:00,292,0,435,727,0
부산시청→연산교차로,2023.5.1 10:00,564,385,238,1187,0
사직운동장→연산교차로,2023.5.1 10:00,221,578,68,867,0
신리→연산교차로,2023.5.1 10:00,465,235,45,745,0
안락→연산교차로,2023.5.1 10:00,537,0,130,667,0
연산터널→연산교차로,2023.5.1 10:00,287,344,49,680,0
교대→연산교차로,2023.5.1 11:00,287,0,395,682,0
부산시청→연산교차로,2023.5.1 11:00,626,392,261,1279,0
사직운동장→연산교차로,2023.5.1 11:00,214,580,63,857,0
신리→연산교차로,2023.5.1 11:00,488,261,69,818,0
안락→연산교차로,2023.5.1 11:00,544,0,143,687,0
연산터널→연산교차로,2023.5.1 11:00,272,294,60,626,0
교대→연산교차로,2023.5.1 12:00,293,0,426,719,0
부산시청→연산교차로,2023.5.1 12:00,601,394,236,1231,0
사직운동장→연산교차로,2023.5.1 12:00,209,585,50,844,0
신리→연산교차로,2023.5.1 12:00,482,230,60,772,0
안락→연산교차로,2023.5.1 12:00,530,0,122,652,0
연산터널→연산교차로,2023.5.1 12:00,300,337,42,679,0
교대→연산교차로,2023.5.1 13:00,336,0,453,789,0
부산시청→연산교차로,2023.5.1 13:00,613,479,274,1366,0
사직운동장→연산교차로,2023.5.1 13:00,266,558,32,856,0
신리→연산교차로,2023.5.1 13:00,442,278,58,778,0
안락→연산교차로,2023.5.1 13:00,435,0,123,558,0
연산터널→연산교차로,2023.5.1 13:00,218,296,22,536,0
교대→연산교차로,2023.5.1 14:00,364,0,497,861,0
부산시청→연산교차로,2023.5.1 14:00,609,496,273,1378,0
사직운동장→연산교차로,2023.5.1 14:00,228,575,54,857,0
신리→연산교차로,2023.5.1 14:00,509,218,54,781,0
안락→연산교차로,2023.5.1 14:00,438,0,101,539,0
연산터널→연산교차로,2023.5.1 14:00,222,293,46,561,0
교대→연산교차로,2023.5.1 15:00,358,0,511,869,0
부산시청→연산교차로,2023.5.1 15:00,645,521,265,1431,0
사직운동장→연산교차로,2023.5.1 15:00,259,605,83,947,0
신리→연산교차로,2023.5.1 15:00,515,237,55,807,0
안락→연산교차로,2023.5.1 15:00,442,0,81,523,0
연산터널→연산교차로,2023.5.1 15:00,208,322,33,563,0
교대→연산교차로,2023.5.1 16:00,343,0,467,810,0
부산시청→연산교차로,2023.5.1 16:00,648,545,282,1475,0
사직운동장→연산교차로,2023.5.1 16:00,232,520,92,844,0
신리→연산교차로,2023.5.1 16:00,490,262,55,807,0
안락→연산교차로,2023.5.1 16:00,458,0,76,534,0
연산터널→연산교차로,2023.5.1 16:00,232,293,46,571,0
교대→연산교차로,2023.5.1 17:00,359,0,531,890,0
부산시청→연산교차로,2023.5.1 17:00,623,543,291,1457,0
사직운동장→연산교차로,2023.5.1 17:00,247,549,86,882,0
신리→연산교차로,2023.5.1 17:00,494,240,56,790,0
안락→연산교차로,2023.5.1 17:00,436,0,82,518,0
연산터널→연산교차로,2023.5.1 17:00,213,278,41,532,0
교대→연산교차로,2023.5.1 18:00,343,0,465,808,0
부산시청→연산교차로,2023.5.1 18:00,582,482,279,1343,0
사직운동장→연산교차로,2023.5.1 18:00,234,497,57,788,0
신리→연산교차로,2023.5.1 18:00,409,244,47,700,0
안락→연산교차로,2023.5.1 18:00,439,0,78,517,0
연산터널→연산교차로,2023.5.1 18:00,220,281,45,546,0
교대→연산교차로,2023.5.1 19:00,289,0,301,590,0
부산시청→연산교차로,2023.5.1 19:00,466,358,195,1019,0
사직운동장→연산교차로,2023.5.1 19:00,147,458,60,665,0
신리→연산교차로,2023.5.1 19:00,350,182,26,558,0
안락→연산교차로,2023.5.1 19:00,380,0,101,481,0
연산터널→연산교차로,2023.5.1 19:00,194,279,44,517,0
교대→연산교차로,2023.5.1 20:00,291,0,285,576,0
부산시청→연산교차로,2023.5.1 20:00,466,331,212,1009,0
사직운동장→연산교차로,2023.5.1 20:00,167,392,75,634,0
신리→연산교차로,2023.5.1 20:00,322,179,28,529,0
안락→연산교차로,2023.5.1 20:00,377,0,100,477,0
연산터널→연산교차로,2023.5.1 20:00,197,220,45,462,0
교대→연산교차로,2023.5.1 21:00,261,0,237,498,0
부산시청→연산교차로,2023.5.1 21:00,448,315,192,955,0
사직운동장→연산교차로,2023.5.1 21:00,152,368,53,573,0
신리→연산교차로,2023.5.1 21:00,266,170,35,471,0
안락→연산교차로,2023.5.1 21:00,390,0,90,480,0
연산터널→연산교차로,2023.5.1 21:00,186,201,45,432,0
교대→연산교차로,2023.5.1 22:00,189,0,175,364,0
부산시청→연산교차로,2023.5.1 22:00,346,238,162,746,0
사직운동장→연산교차로,2023.5.1 22:00,122,302,63,487,0
신리→연산교차로,2023.5.1 22:00,223,125,14,362,0
안락→연산교차로,2023.5.1 22:00,316,0,80,396,0
연산터널→연산교차로,2023.5.1 22:00,165,190,48,403,0
교대→연산교차로,2023.5.1 23:00,153,0,123,276,0
부산시청→연산교차로,2023.5.1 23:00,285,153,98,536,0
사직운동장→연산교차로,2023.5.1 23:00,91,238,46,375,0
신리→연산교차로,2023.5.1 23:00,187,90,19,296,0
안락→연산교차로,2023.5.1 23:00,243,0,45,288,0
연산터널→연산교차로,2023.5.1 23:00,129,139,41,309,0
교대→연산교차로,2023.5.2 00:00,115,0,125,240,0
부산시청→연산교차로,2023.5.2 00:00,219,123,103,445,0
사직운동장→연산교차로,2023.5.2 00:00,52,178,51,281,0
신리→연산교차로,2023.5.2 00:00,124,66,11,201,0
안락→연산교차로,2023.5.2 00:00,188,0,58,246,0
연산터널→연산교차로,2023.5.2 00:00,122,167,54,343,0
교대→연산교차로,2023.5.2 01:00,87,0,111,198,0
부산시청→연산교차로,2023.5.2 01:00,175,114,72,361,0
사직운동장→연산교차로,2023.5.2 01:00,50,130,35,215,0
신리→연산교차로,2023.5.2 01:00,98,67,11,176,0
안락→연산교차로,2023.5.2 01:00,156,0,29,185,0
연산터널→연산교차로,2023.5.2 01:00,75,103,24,202,0
교대→연산교차로,2023.5.2 02:00,65,0,80,145,0
부산시청→연산교차로,2023.5.2 02:00,146,75,48,269,0
사직운동장→연산교차로,2023.5.2 02:00,33,114,40,187,0
신리→연산교차로,2023.5.2 02:00,83,48,12,143,0
안락→연산교차로,2023.5.2 02:00,134,0,34,168,0
연산터널→연산교차로,2023.5.2 02:00,91,75,38,204,0
교대→연산교차로,2023.5.2 03:00,48,0,55,103,0
부산시청→연산교차로,2023.5.2 03:00,133,59,47,239,0
사직운동장→연산교차로,2023.5.2 03:00,25,114,38,177,0
신리→연산교차로,2023.5.2 03:00,65,30,16,111,0
안락→연산교차로,2023.5.2 03:00,109,0,20,129,0
연산터널→연산교차로,2023.5.2 03:00,66,88,48,202,0
교대→연산교차로,2023.5.2 04:00,46,0,65,111,0
부산시청→연산교차로,2023.5.2 04:00,151,80,38,269,0
사직운동장→연산교차로,2023.5.2 04:00,29,98,25,152,0
신리→연산교차로,2023.5.2 04:00,90,44,9,143,0
안락→연산교차로,2023.5.2 04:00,163,0,37,200,0
연산터널→연산교차로,2023.5.2 04:00,72,82,19,173,0
교대→연산교차로,2023.5.2 05:00,104,0,118,222,0
부산시청→연산교차로,2023.5.2 05:00,244,179,81,504,0
사직운동장→연산교차로,2023.5.2 05:00,47,172,26,245,0
신리→연산교차로,2023.5.2 05:00,236,79,11,326,0
안락→연산교차로,2023.5.2 05:00,327,0,40,367,0
연산터널→연산교차로,2023.5.2 05:00,148,144,32,324,0
교대→연산교차로,2023.5.2 06:00,196,0,281,477,0
부산시청→연산교차로,2023.5.2 06:00,411,288,132,831,0
사직운동장→연산교차로,2023.5.2 06:00,110,281,39,430,0
신리→연산교차로,2023.5.2 06:00,365,153,24,542,0
안락→연산교차로,2023.5.2 06:00,531,0,80,611,0
연산터널→연산교차로,2023.5.2 06:00,244,256,49,549,0
교대→연산교차로,2023.5.2 07:00,258,0,441,699,0
부산시청→연산교차로,2023.5.2 07:00,556,376,246,1178,0
사직운동장→연산교차로,2023.5.2 07:00,194,470,47,711,0
신리→연산교차로,2023.5.2 07:00,501,268,31,800,0
안락→연산교차로,2023.5.2 07:00,636,0,75,711,0
연산터널→연산교차로,2023.5.2 07:00,285,378,42,705,0
교대→연산교차로,2023.5.2 08:00,321,0,464,785,0
부산시청→연산교차로,2023.5.2 08:00,571,424,326,1321,0
사직운동장→연산교차로,2023.5.2 08:00,213,641,41,895,0
신리→연산교차로,2023.5.2 08:00,540,361,21,922,0
안락→연산교차로,2023.5.2 08:00,565,0,99,664,0
연산터널→연산교차로,2023.5.2 08:00,335,351,32,718,0
교대→연산교차로,2023.5.2 09:00,304,0,509,813,0
부산시청→연산교차로,2023.5.2 09:00,501,381,283,1165,0
사직운동장→연산교차로,2023.5.2 09:00,210,515,56,781,0
신리→연산교차로,2023.5.2 09:00,455,339,47,841,0
안락→연산교차로,2023.5.2 09:00,555,0,96,651,0
연산터널→연산교차로,2023.5.2 09:00,297,354,32,683,0
교대→연산교차로,2023.5.2 10:00,295,0,449,744,0
부산시청→연산교차로,2023.5.2 10:00,541,368,276,1185,0
사직운동장→연산교차로,2023.5.2 10:00,233,521,57,811,0
신리→연산교차로,2023.5.2 10:00,464,294,57,815,0
안락→연산교차로,2023.5.2 10:00,515,0,121,636,0
연산터널→연산교차로,2023.5.2 10:00,277,318,49,644,0
교대→연산교차로,2023.5.2 11:00,294,0,437,731,0
부산시청→연산교차로,2023.5.2 11:00,538,368,259,1165,0
사직운동장→연산교차로,2023.5.2 11:00,241,548,48,837,0
신리→연산교차로,2023.5.2 11:00,415,276,62,753,0
안락→연산교차로,2023.5.2 11:00,488,0,159,647,0
연산터널→연산교차로,2023.5.2 11:00,265,300,57,622,0
교대→연산교차로,2023.5.2 12:00,264,0,355,619,0
부산시청→연산교차로,2023.5.2 12:00,535,364,240,1139,0
사직운동장→연산교차로,2023.5.2 12:00,182,516,56,754,0
신리→연산교차로,2023.5.2 12:00,413,223,49,685,0
안락→연산교차로,2023.5.2 12:00,471,0,127,598,0
연산터널→연산교차로,2023.5.2 12:00,243,286,47,576,0
교대→연산교차로,2023.5.2 13:00,325,0,437,762,0
부산시청→연산교차로,2023.5.2 13:00,524,413,263,1200,0
사직운동장→연산교차로,2023.5.2 13:00,247,570,52,869,0
신리→연산교차로,2023.5.2 13:00,432,268,53,753,0
안락→연산교차로,2023.5.2 13:00,428,0,132,560,0
연산터널→연산교차로,2023.5.2 13:00,226,234,39,499,0
교대→연산교차로,2023.5.2 14:00,349,0,474,823,0
부산시청→연산교차로,2023.5.2 14:00,509,405,252,1166,0
사직운동장→연산교차로,2023.5.2 14:00,244,581,48,873,0
신리→연산교차로,2023.5.2 14:00,467,244,61,772,0
안락→연산교차로,2023.5.2 14:00,441,0,110,551,0
연산터널→연산교차로,2023.5.2 14:00,230,270,43,543,0
교대→연산교차로,2023.5.2 15:00,338,0,471,809,0
부산시청→연산교차로,2023.5.2 15:00,573,473,314,1360,0
사직운동장→연산교차로,2023.5.2 15:00,240,612,74,926,0
신리→연산교차로,2023.5.2 15:00,456,269,57,782,0
안락→연산교차로,2023.5.2 15:00,438,0,104,542,0
연산터널→연산교차로,2023.5.2 15:00,227,278,43,548,0
교대→연산교차로,2023.5.2 16:00,356,0,509,865,0
부산시청→연산교차로,2023.5.2 16:00,611,538,316,1465,0
사직운동장→연산교차로,2023.5.2 16:00,220,634,62,916,0
신리→연산교차로,2023.5.2 16:00,522,268,57,847,0
안락→연산교차로,2023.5.2 16:00,435,0,104,539,0
연산터널→연산교차로,2023.5.2 16:00,236,288,42,566,0
교대→연산교차로,2023.5.2 17:00,347,0,539,886,0
부산시청→연산교차로,2023.5.2 17:00,605,550,338,1493,0
사직운동장→연산교차로,2023.5.2 17:00,253,664,57,974,0
신리→연산교차로,2023.5.2 17:00,520,290,72,882,0
안락→연산교차로,2023.5.2 17:00,452,0,113,565,0
연산터널→연산교차로,2023.5.2 17:00,242,260,40,542,0
교대→연산교차로,2023.5.2 18:00,358,0,537,895,0
부산시청→연산교차로,2023.5.2 18:00,617,574,346,1537,0
사직운동장→연산교차로,2023.5.2 18:00,266,656,71,993,0
신리→연산교차로,2023.5.2 18:00,495,274,48,817,0
안락→연산교차로,2023.5.2 18:00,466,0,83,549,0
연산터널→연산교차로,2023.5.2 18:00,226,284,42,552,0
교대→연산교차로,2023.5.2 19:00,341,0,385,726,0
부산시청→연산교차로,2023.5.2 19:00,526,385,273,1184,0
사직운동장→연산교차로,2023.5.2 19:00,178,579,78,835,0
신리→연산교차로,2023.5.2 19:00,397,214,51,662,0
안락→연산교차로,2023.5.2 19:00,426,0,92,518,0
연산터널→연산교차로,2023.5.2 19:00,198,245,54,497,0
교대→연산교차로,2023.5.2 20:00,313,0,294,607,0
부산시청→연산교차로,2023.5.2 20:00,464,354,257,1075,0
사직운동장→연산교차로,2023.5.2 20:00,174,468,79,721,0
신리→연산교차로,2023.5.2 20:00,323,185,27,535,0
안락→연산교차로,2023.5.2 20:00,400,0,98,498,0
연산터널→연산교차로,2023.5.2 20:00,198,262,71,531,0
교대→연산교차로,2023.5.2 21:00,272,0,283,555,0
부산시청→연산교차로,2023.5.2 21:00,524,343,215,1082,0
사직운동장→연산교차로,2023.5.2 21:00,155,423,91,669,0
신리→연산교차로,2023.5.2 21:00,276,180,31,487,0
안락→연산교차로,2023.5.2 21:00,430,0,97,527,0
연산터널→연산교차로,2023.5.2 21:00,224,252,65,541,0
교대→연산교차로,2023.5.2 22:00,254,0,223,477,0
부산시청→연산교차로,2023.5.2 22:00,421,293,158,872,0
사직운동장→연산교차로,2023.5.2 22:00,139,339,77,555,0
신리→연산교차로,2023.5.2 22:00,239,163,27,429,0
안락→연산교차로,2023.5.2 22:00,355,0,84,439,0
연산터널→연산교차로,2023.5.2 22:00,190,240,55,485,0
교대→연산교차로,2023.5.2 23:00,166,0,208,374,0
부산시청→연산교차로,2023.5.2 23:00,315,182,133,630,0
사직운동장→연산교차로,2023.5.2 23:00,109,258,104,471,0
신리→연산교차로,2023.5.2 23:00,184,106,16,306,0
안락→연산교차로,2023.5.2 23:00,256,0,76,332,0
연산터널→연산교차로,2023.5.2 23:00,133,176,50,359,0
교대→연산교차로,2023.5.3 00:00,133,0,150,283,0
부산시청→연산교차로,2023.5.3 00:00,222,167,112,501,0
사직운동장→연산교차로,2023.5.3 00:00,82,223,62,367,0
신리→연산교차로,2023.5.3 00:00,159,82,16,257,0
안락→연산교차로,2023.5.3 00:00,204,0,59,263,0
연산터널→연산교차로,2023.5.3 00:00,129,167,80,376,0
교대→연산교차로,2023.5.3 01:00,96,0,128,224,0
부산시청→연산교차로,2023.5.3 01:00,199,119,93,411,0
사직운동장→연산교차로,2023.5.3 01:00,60,190,45,295,0
신리→연산교차로,2023.5.3 01:00,104,67,17,188,0
안락→연산교차로,2023.5.3 01:00,150,0,28,178,0
연산터널→연산교차로,2023.5.3 01:00,118,140,48,306,0
교대→연산교차로,2023.5.3 02:00,76,0,86,162,0
부산시청→연산교차로,2023.5.3 02:00,149,93,58,300,0
사직운동장→연산교차로,2023.5.3 02:00,47,131,35,213,0
신리→연산교차로,2023.5.3 02:00,83,42,18,143,0
안락→연산교차로,2023.5.3 02:00,134,0,24,158,0
연산터널→연산교차로,2023.5.3 02:00,99,124,56,279,0
교대→연산교차로,2023.5.3 03:00,47,0,92,139,0
부산시청→연산교차로,2023.5.3 03:00,140,74,48,262,0
사직운동장→연산교차로,2023.5.3 03:00,40,114,36,190,0
신리→연산교차로,2023.5.3 03:00,69,34,11,114,0
안락→연산교차로,2023.5.3 03:00,92,0,28,120,0
연산터널→연산교차로,2023.5.3 03:00,71,73,42,186,0
교대→연산교차로,2023.5.3 04:00,58,0,65,123,0
부산시청→연산교차로,2023.5.3 04:00,141,70,66,277,0
사직운동장→연산교차로,2023.5.3 04:00,29,115,19,163,0
신리→연산교차로,2023.5.3 04:00,77,39,9,125,0
안락→연산교차로,2023.5.3 04:00,176,0,37,213,0
연산터널→연산교차로,2023.5.3 04:00,76,84,31,191,0
교대→연산교차로,2023.5.3 05:00,104,0,133,237,0
부산시청→연산교차로,2023.5.3 05:00,227,162,67,456,0
사직운동장→연산교차로,2023.5.3 05:00,55,163,40,258,0
신리→연산교차로,2023.5.3 05:00,234,89,22,345,0
안락→연산교차로,2023.5.3 05:00,358,0,47,405,0
연산터널→연산교차로,2023.5.3 05:00,141,153,36,330,0
교대→연산교차로,2023.5.3 06:00,185,0,247,432,0
부산시청→연산교차로,2023.5.3 06:00,390,273,116,779,0
사직운동장→연산교차로,2023.5.3 06:00,96,292,31,419,0
신리→연산교차로,2023.5.3 06:00,356,158,27,541,0
안락→연산교차로,2023.5.3 06:00,543,0,82,625,0
연산터널→연산교차로,2023.5.3 06:00,217,247,38,502,0
교대→연산교차로,2023.5.3 07:00,275,0,420,695,0
부산시청→연산교차로,2023.5.3 07:00,549,365,230,1144,0
사직운동장→연산교차로,2023.5.3 07:00,179,448,38,665,0
신리→연산교차로,2023.5.3 07:00,502,272,32,806,0
안락→연산교차로,2023.5.3 07:00,604,0,87,691,0
연산터널→연산교차로,2023.5.3 07:00,267,385,42,694,0
교대→연산교차로,2023.5.3 08:00,309,0,491,800,0
부산시청→연산교차로,2023.5.3 08:00,570,411,336,1317,0
사직운동장→연산교차로,2023.5.3 08:00,216,607,56,879,0
신리→연산교차로,2023.5.3 08:00,527,348,26,901,0
안락→연산교차로,2023.5.3 08:00,608,0,94,702,0
연산터널→연산교차로,2023.5.3 08:00,319,371,38,728,0
교대→연산교차로,2023.5.3 09:00,299,0,498,797,0
부산시청→연산교차로,2023.5.3 09:00,487,382,291,1160,0
사직운동장→연산교차로,2023.5.3 09:00,201,553,68,822,0
신리→연산교차로,2023.5.3 09:00,482,329,42,853,0
안락→연산교차로,2023.5.3 09:00,591,0,103,694,0
연산터널→연산교차로,2023.5.3 09:00,280,376,42,698,0
교대→연산교차로,2023.5.3 10:00,277,0,457,734,0
부산시청→연산교차로,2023.5.3 10:00,561,348,312,1221,0
사직운동장→연산교차로,2023.5.3 10:00,193,552,68,813,0
신리→연산교차로,2023.5.3 10:00,487,268,59,814,0
안락→연산교차로,2023.5.3 10:00,532,0,118,650,0
연산터널→연산교차로,2023.5.3 10:00,291,321,50,662,0
교대→연산교차로,2023.5.3 11:00,288,0,435,723,0
부산시청→연산교차로,2023.5.3 11:00,556,371,268,1195,0
사직운동장→연산교차로,2023.5.3 11:00,210,563,83,856,0
신리→연산교차로,2023.5.3 11:00,479,261,56,796,0
안락→연산교차로,2023.5.3 11:00,566,0,135,701,0
연산터널→연산교차로,2023.5.3 11:00,246,304,44,594,0
교대→연산교차로,2023.5.3 12:00,301,0,388,689,0
부산시청→연산교차로,2023.5.3 12:00,557,365,237,1159,0
사직운동장→연산교차로,2023.5.3 12:00,210,519,57,786,0
신리→연산교차로,2023.5.3 12:00,374,239,49,662,0
안락→연산교차로,2023.5.3 12:00,472,0,134,606,0
연산터널→연산교차로,2023.5.3 12:00,241,290,48,579,0
교대→연산교차로,2023.5.3 13:00,336,0,459,795,0
부산시청→연산교차로,2023.5.3 13:00,531,436,275,1242,0
사직운동장→연산교차로,2023.5.3 13:00,217,556,63,836,0
신리→연산교차로,2023.5.3 13:00,447,280,51,778,0
안락→연산교차로,2023.5.3 13:00,431,0,121,552,0
연산터널→연산교차로,2023.5.3 13:00,210,281,40,531,0
교대→연산교차로,2023.5.3 14:00,346,0,475,821,0
부산시청→연산교차로,2023.5.3 14:00,540,434,267,1241,0
사직운동장→연산교차로,2023.5.3 14:00,275,580,78,933,0
신리→연산교차로,2023.5.3 14:00,454,282,46,782,0
안락→연산교차로,2023.5.3 14:00,446,0,95,541,0
연산터널→연산교차로,2023.5.3 14:00,239,287,35,561,0
교대→연산교차로,2023.5.3 15:00,351,0,458,809,0
부산시청→연산교차로,2023.5.3 15:00,595,458,283,1336,0
사직운동장→연산교차로,2023.5.3 15:00,208,595,89,892,0
신리→연산교차로,2023.5.3 15:00,453,268,58,779,0
안락→연산교차로,2023.5.3 15:00,451,0,111,562,0
연산터널→연산교차로,2023.5.3 15:00,215,279,40,534,0
교대→연산교차로,2023.5.3 16:00,364,0,512,876,0
부산시청→연산교차로,2023.5.3 16:00,592,524,321,1437,0
사직운동장→연산교차로,2023.5.3 16:00,257,647,55,959,0
신리→연산교차로,2023.5.3 16:00,518,288,43,849,0
안락→연산교차로,2023.5.3 16:00,421,0,90,511,0
연산터널→연산교차로,2023.5.3 16:00,252,270,44,566,0
교대→연산교차로,2023.5.3 17:00,376,0,527,903,0
부산시청→연산교차로,2023.5.3 17:00,645,553,309,1507,0
사직운동장→연산교차로,2023.5.3 17:00,238,693,55,986,0
신리→연산교차로,2023.5.3 17:00,507,276,51,834,0
안락→연산교차로,2023.5.3 17:00,479,0,77,556,0
연산터널→연산교차로,2023.5.3 17:00,224,291,47,562,0
교대→연산교차로,2023.5.3 18:00,378,0,541,919,0
부산시청→연산교차로,2023.5.3 18:00,620,560,314,1494,0
사직운동장→연산교차로,2023.5.3 18:00,233,666,55,954,0
신리→연산교차로,2023.5.3 18:00,543,243,51,837,0
안락→연산교차로,2023.5.3 18:00,464,0,103,567,0
연산터널→연산교차로,2023.5.3 18:00,232,283,49,564,0
교대→연산교차로,2023.5.3 19:00,334,0,406,740,0
부산시청→연산교차로,2023.5.3 19:00,513,400,250,1163,0
사직운동장→연산교차로,2023.5.3 19:00,172,513,69,754,0
신리→연산교차로,2023.5.3 19:00,394,219,50,663,0
안락→연산교차로,2023.5.3 19:00,439,0,91,530,0
연산터널→연산교차로,2023.5.3 19:00,223,268,41,532,0
교대→연산교차로,2023.5.3 20:00,312,0,324,636,0
부산시청→연산교차로,2023.5.3 20:00,490,377,247,1114,0
사직운동장→연산교차로,2023.5.3 20:00,188,472,86,746,0
신리→연산교차로,2023.5.3 20:00,331,188,31,550,0
안락→연산교차로,2023.5.3 20:00,431,0,93,524,0
연산터널→연산교차로,2023.5.3 20:00,196,291,55,542,0
교대→연산교차로,2023.5.3 21:00,281,0,297,578,0
부산시청→연산교차로,2023.5.3 21:00,518,333,189,1040,0
사직운동장→연산교차로,2023.5.3 21:00,185,412,105,702,0
신리→연산교차로,2023.5.3 21:00,280,189,35,504,0
안락→연산교차로,2023.5.3 21:00,392,0,100,492,0
연산터널→연산교차로,2023.5.3 21:00,227,257,66,550,0
교대→연산교차로,2023.5.3 22:00,248,0,253,501,0
부산시청→연산교차로,2023.5.3 22:00,422,268,164,854,0
사직운동장→연산교차로,2023.5.3 22:00,149,379,94,622,0
신리→연산교차로,2023.5.3 22:00,279,176,16,471,0
안락→연산교차로,2023.5.3 22:00,383,0,85,468,0
연산터널→연산교차로,2023.5.3 22:00,197,232,72,501,0
교대→연산교차로,2023.5.3 23:00,181,0,165,346,0
부산시청→연산교차로,2023.5.3 23:00,316,182,132,630,0
사직운동장→연산교차로,2023.5.3 23:00,129,301,80,510,0
신리→연산교차로,2023.5.3 23:00,204,122,25,351,0
안락→연산교차로,2023.5.3 23:00,281,0,68,349,0
연산터널→연산교차로,2023.5.3 23:00,151,204,54,409,0
교대→연산교차로,2023.5.4 00:00,143,0,162,305,0
부산시청→연산교차로,2023.5.4 00:00,265,173,107,545,0
사직운동장→연산교차로,2023.5.4 00:00,93,216,78,387,0
신리→연산교차로,2023.5.4 00:00,166,106,22,294,0
안락→연산교차로,2023.5.4 00:00,225,0,52,277,0
연산터널→연산교차로,2023.5.4 00:00,126,164,54,344,0
교대→연산교차로,2023.5.4 01:00,99,0,136,235,0
부산시청→연산교차로,2023.5.4 01:00,210,135,78,423,0
사직운동장→연산교차로,2023.5.4 01:00,62,193,42,297,0
신리→연산교차로,2023.5.4 01:00,128,62,20,210,0
안락→연산교차로,2023.5.4 01:00,184,0,40,224,0
연산터널→연산교차로,2023.5.4 01:00,128,146,63,337,0
교대→연산교차로,2023.5.4 02:00,73,0,93,166,0
부산시청→연산교차로,2023.5.4 02:00,172,88,75,335,0
